ClientID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderID,IAId
C1284,Jeffrey Pearson,40,L484,2022-06-16,(713)457-1487x766,Botswana,Quantity surveyor,Standard,Silver,118262,400192,1,4197,0,6509,0,0,No,41384,2,Medium,R1284,3,A105
C1285,Ronald Swanson,78,L485,2023-05-24,900.262.4700x41226,Guatemala,Ecologist,Standard,Platinum,69309,282527,2,15440,2,52954,1,1,No,31620,1,High,R1285,2,A106
C1286,Nancy Henson,66,L486,2024-08-14,+1-154-942-0437x636,Congo,Information officer,Student,Gold,112037,141311,4,19642,4,2979,0,1,Yes,2112,1,Low,R1286,2,A111
C1287,Todd Mcintyre,30,L487,2024-12-06,(463)321-7583,American Samoa,Youth worker,Business,Platinum,189158,183908,2,4218,2,63731,0,1,Yes,44173,1,Low,R1287,2,A103
C1288,Donald Wise,74,L488,2022-07-13,001-841-605-3277x22745,United States Minor Outlying Islands,Art gallery manager,Student,Bronze,130847,442624,4,12857,0,73140,0,1,Yes,6883,2,Low,R1288,3,A106
C1289,Elizabeth Rubio,36,L489,2011-06-23,001-385-649-1916x91074,Ethiopia,Environmental manager,Standard,Silver,150708,288174,3,10122,3,70249,1,1,No,18137,2,High,R1289,2,A115
C1290,Elizabeth Smith,75,L490,2019-07-28,736.269.6378x349,Macao,Restaurant manager,Premium,Silver,162492,213007,0,13766,2,98031,0,1,Yes,4337,1,Low,R1290,3,A101
C1291,Joseph Vaughan,40,L491,2008-08-01,258-052-8164,Seychelles,Best boy,Business,Bronze,67021,310298,1,13741,2,56489,0,1,Yes,2172,1,Medium,R1291,2,A111
C1292,Colton Liu,23,L492,2011-04-24,116.626.2794x159,Burkina Faso,Advertising account executive,Business,Bronze,91456,137704,1,10901,1,76297,1,1,Yes,38112,1,High,R1292,3,A117
C1293,Kirk Meyer,38,L493,2013-11-21,+1-097-410-0584,Ireland,Museum/gallery exhibitions officer,Business,Platinum,60165,382571,0,13451,3,54919,1,0,No,24442,2,Medium,R1293,3,A107
C1294,Megan Jones,72,L494,2009-01-10,941.222.1806x8650,Zambia,Landscape architect,Business,Gold,31792,138674,3,7004,4,19603,0,1,No,10599,2,High,R1294,3,A111
C1295,Jennifer Rodgers,27,L495,2011-12-08,6869795403,Tokelau,Farm manager,Premium,Silver,144907,280387,3,3115,1,85317,0,0,No,35170,2,Medium,R1295,1,A101
C1296,Aaron Wallace,75,L496,2018-03-30,929.150.5645x530,Yemen,"Engineer, technical sales",Premium,Platinum,81452,130883,4,12080,4,2953,0,1,No,14988,0,High,R1296,2,A117
C1297,Emily Beck,40,L497,2015-03-30,174-160-1038x831,Bhutan,Press sub,Standard,Platinum,159364,347810,1,387,0,96699,1,1,No,11879,1,Medium,R1297,1,A111
C1298,Brandy Rhodes,48,L498,2017-03-12,965-898-9798x464,Burundi,Data processing manager,Premium,Platinum,39036,126980,3,15049,3,2695,0,1,No,10793,2,Medium,R1298,3,A115
C1299,Samuel Chung,70,L499,2015-08-02,611.040.8191x53531,Mozambique,Tax adviser,Student,Silver,52477,221661,3,4981,3,40723,0,1,No,11313,1,Medium,R1299,2,A105
